MatchId,MatchName,LeagueName,SeasonName,StartDateTime,battingFirstName,battingFirstId,bowlingFirstName,bowlingFirstId,battingFirstScoreRuns,battingFirstScoreWickets,battingFirstScoreOvers,battingFirstScoreBalls,bowlingFirstScoreRuns,bowlingFirstScoreWickets,bowlingFirstScoreOvers,bowlingFirstScoreBalls,league_id,season_id
299907,Semi Final 2 vs 3,JJ Holland Midweek,2020,2020-12-07T06:41:26Z,The Hunts,9013,The Nutty Cuckoo Super Kings,18132,188,7,20,0,157,3,20,0,1398,112
299908,B GRADE SEMI 5 vs 6 - Winner Plays Ross Straw Semi Winner,JJ Holland Midweek,2020,2020-12-10T06:42:42Z,The Michael Bevans,11117,Doghouse,14922,119,6,20,0,120,1,12,0,1398,112
301432,GRAND FINAL,JJ Holland Midweek,2020,2020-12-17T06:34:49Z,The Hunts,9013,Workers Club Lions,16726,116,8,17,4,118,4,16,0,1398,112
301479,3 vs 4 Epic Showdown,JJ Holland Midweek,2020,2020-12-17T06:37:22Z,The Nutty Cuckoo Super Kings,18132,Major Paine,18659,188,4,20,0,136,3,20,0,1398,112
305337,Home Team :	  Please select a home team,JJ Holland Midweek,2021 Summer,2021-01-14T06:36:51Z,The Hunts,9013,The Nutty Cuckoo Super Kings,18132,135,4,20,0,97,8,16,2,1398,114
305336,Home Team :	  Please select a home team,JJ Holland Midweek,2021 Summer,2021-01-14T06:53:41Z,Workers Club Lions,16726,Major Paine,18659,117,8,18,4,120,2,14,0,1398,114
305339,Round 2,JJ Holland Midweek,2021 Summer,2021-01-21T06:34:29Z,Workers Club Lions,16726,The Hunts,9013,132,4,20,0,133,5,18,2,1398,114
305338,Round 2,JJ Holland Midweek,2021 Summer,2021-01-21T06:39:31Z,Major Paine,18659,The Nutty Cuckoo Super Kings,18132,195,6,20,0,196,1,18,1,1398,114
305505,Round 3,JJ Holland Midweek,2021 Summer,2021-01-28T06:37:47Z,Workers Club Lions,16726,The Nutty Cuckoo Super Kings,18132,181,4,20,0,182,3,19,3,1398,114
305506,Round 3,JJ Holland Midweek,2021 Summer,2021-01-28T06:44:28Z,The Hunts,9013,Major Paine,18659,124,6,20,0,125,2,15,0,1398,114
305508,Round 4,JJ Holland Midweek,2021 Summer,2021-02-04T06:43:43Z,The Hunts,9013,The Nutty Cuckoo Super Kings,18132,220,3,20,0,140,8,17,1,1398,114
305507,Round 4,JJ Holland Midweek,2021 Summer,2021-02-04T06:46:56Z,Major Paine,18659,Workers Club Lions,16726,124,6,20,0,116,6,20,0,1398,114
305512,Round 5,JJ Holland Midweek,2021 Summer,2021-02-11T06:42:46Z,The Hunts,9013,Workers Club Lions,16726,130,6,20,0,131,4,14,3,1398,114
305511,Round 5,JJ Holland Midweek,2021 Summer,2021-02-11T06:45:04Z,The Nutty Cuckoo Super Kings,18132,Major Paine,18659,106,8,19,4,107,4,15,0,1398,114
305509,Round 6,JJ Holland Midweek,2021 Summer,2021-02-18T06:46:44Z,The Hunts,9013,Major Paine,18659,185,5,20,0,154,4,20,0,1398,114
305510,Round 6,JJ Holland Midweek,2021 Summer,2021-02-18T06:53:18Z,Workers Club Lions,16726,The Nutty Cuckoo Super Kings,18132,188,3,20,0,125,8,18,0,1398,114
305513,Round 7,JJ Holland Midweek,2021 Summer,2021-02-25T06:40:08Z,Major Paine,18659,Workers Club Lions,16726,105,8,19,1,64,8,15,1,1398,114
305514,Round 7,JJ Holland Midweek,2021 Summer,2021-02-25T06:47:33Z,The Nutty Cuckoo Super Kings,18132,The Hunts,9013,165,5,20,0,169,2,16,1,1398,114
306943,NA,JJ Holland / Ross Straw Midweek Minor Championship,2021 Summer,2021-03-01T06:28:01Z,Prahraners,10480,Workers Club Lions,16726,218,4,20,0,135,7,20,0,1398,114
306942,NA,JJ Holland / Ross Straw Midweek Minor Championship,2021 Summer,2021-03-01T06:35:54Z,St Peter's Cricket Club,18295,The Nutty Cuckoo Super Kings,18132,163,5,20,0,106,4,20,0,1398,114
307423,NA,JJ Holland / Ross Straw Midweek Minor Championship,2021 Summer,2021-03-11T06:23:27Z,Workers Club Lions,16726,The Nutty Cuckoo Super Kings,18132,145,8,19,3,148,0,13,3,1398,114
306944,GRAND FINAL,JJ Holland / Ross Straw Midweek Minor Championship,2021 Summer,2021-03-11T06:32:05Z,Prahraners,10480,St Peter's Cricket Club,18295,151,9,17,1,120,7,20,0,1398,114
316021,Round 1,Newport Autumn Sundays,2021 Autumn,2021-04-10T23:46:33Z,Mustangs,20237,Melbourne Dolphins,19542,184,3,20,0,76,8,12,4,3476,117
