$id,$type,AdditionalRunsNotFromBat,Runs,CatcherUserId,BatsmanId
530158630,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,2,NA,NA
180990707,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,6,NA,NA
269536636,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
876672767,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
155718993,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
9398242,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
291226383,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
310761620,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
21174086,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
622825499,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
507026822,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
983382670,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
600354357,live_scoring_core.events.outdoor_cricket.ball_results.Caught,NA,NA,148605,NA
16742830,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
213527109,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
564251580,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
844583723,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
306663721,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
156857924,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
166107886,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,3,NA,NA
357678579,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
408899536,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
448854265,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
991242303,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,2,NA,NA
25365786,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
805834719,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
873983312,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
883941855,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
715702048,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
641414976,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
44639643,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
716367122,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
876072466,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
122783613,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
704759883,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
