$id,$type,BattingFirstTeamId,BowlingFirstTeamId,FirstInningsOvers,SecondInningsOvers,PitchCondition,Id,TimeStamp,BattingTeamId,BowlingTeamId,StrikerId,NonStrikerId,BowlerId,KeeperId,NewBowlerId,BatsmanId,NewBatsmanId,NewFielderId,NewKeeperId
339075859,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,b21f2bb9-a3f8-49a8-b8fb-651766ef82a2,2021-02-25T07:04:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501630716,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,0c24ccd8-f513-4339-815e-4ebe947ce087,2021-02-25T07:04:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003239528,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,1ebc85cf-f332-446b-ae42-a1ab0d1f13c6,2021-02-25T07:05:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
859525275,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,bff64e46-f828-411c-9b2c-7c77c0a22ba1,2021-02-25T07:05:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1014719895,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,9a79b5e3-7be2-4307-a2c3-55628d82b1ea,2021-02-25T07:05:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326959492,live_scoring_core.events.outdoor_cricket.NewOverStarted,NA,NA,NA,NA,NA,c42dcecc-1bd2-4b5b-b47a-374fca91bf10,2021-02-25T07:06:14,NA,NA,NA,NA,78000,NA,NA,NA,NA,NA,NA
349773754,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,eb73a356-bfe1-4b8f-b758-b2ac0190687c,2021-02-25T07:06:48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275322598,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,783e6019-8852-41a2-8cc5-b566f7c9358a,2021-02-25T07:07:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399589885,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,25b6357c-4b33-447e-9181-481681504829,2021-02-25T07:07:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352220269,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,11387d58-cff9-4a08-9626-9cc7ac4f8db6,2021-02-25T07:07:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
